"year","scenario","esm","mem","biomass"
2076,"ssp5","gfdl-esm4","boats",5680618828842679
2077,"ssp5","gfdl-esm4","boats",5654353130741637
2078,"ssp5","gfdl-esm4","boats",5605366064610352
2079,"ssp5","gfdl-esm4","boats",5592830269046030
2080,"ssp5","gfdl-esm4","boats",5597599884954107
2081,"ssp5","gfdl-esm4","boats",5551508815581144
2082,"ssp5","gfdl-esm4","boats",5483604432557730
2083,"ssp5","gfdl-esm4","boats",5493464189516938
2084,"ssp5","gfdl-esm4","boats",5470181484745925
2085,"ssp5","gfdl-esm4","boats",5448931953477639
2086,"ssp5","gfdl-esm4","boats",5418262388263284
2087,"ssp5","gfdl-esm4","boats",5403251400773498
2088,"ssp5","gfdl-esm4","boats",5395747042342946
2089,"ssp5","gfdl-esm4","boats",5267915020059965
